timestamp,condition,voltage_V,analogRead,temperature_C,DO_mgL_calculated,note
2026-08-11 10:00:00,air_saturated_25C,,,8.25,,
2026-08-11 10:01:00,air_saturated_25C,,,8.25,,
2026-08-11 10:02:00,air_saturated_25C,,,8.25,,
2026-08-11 10:03:00,air_saturated_25C,,,8.25,,
2026-08-11 10:04:00,air_saturated_25C,,,8.25,,
2026-08-11 10:05:00,air_saturated_25C,,,8.25,,
2026-08-11 10:10:00,air_saturated_37C,,,6.72,,
2026-08-11 10:11:00,air_saturated_37C,,,6.72,,
2026-08-11 10:12:00,air_saturated_37C,,,6.72,,
2026-08-11 10:13:00,air_saturated_37C,,,6.72,,
2026-08-11 10:14:00,air_saturated_37C,,,6.72,,
2026-08-11 10:15:00,air_saturated_37C,,,6.72,,
2026-08-11 10:20:00,zero_Na2SO3,,,0.00,,
2026-08-11 10:21:00,zero_Na2SO3,,,0.00,,
2026-08-11 10:22:00,zero_Na2SO3,,,0.00,,
2026-08-11 10:23:00,zero_Na2SO3,,,0.00,,
2026-08-11 10:24:00,zero_Na2SO3,,,0.00,,
2026-08-11 10:25:00,zero_Na2SO3,,,0.00,,
2026-08-11 10:30:00,sample_blank_water_25C,,,8.25,,
2026-08-11 10:31:00,sample_blank_water_25C,,,8.25,,
2026-08-11 10:32:00,sample_blank_water_25C,,,8.25,,
