timestamp,buffer_pH,voltage_V,analogRead,temperature_C,note
2026-08-11 09:00:00,4.00,,,,
2026-08-11 09:01:00,4.00,,,,
2026-08-11 09:02:00,4.00,,,,
2026-08-11 09:03:00,4.00,,,,
2026-08-11 09:04:00,4.00,,,,
2026-08-11 09:05:00,4.00,,,,
2026-08-11 09:10:00,7.00,,,,
2026-08-11 09:11:00,7.00,,,,
2026-08-11 09:12:00,7.00,,,,
2026-08-11 09:13:00,7.00,,,,
2026-08-11 09:14:00,7.00,,,,
2026-08-11 09:15:00,7.00,,,,
2026-08-11 09:20:00,10.00,,,,
2026-08-11 09:21:00,10.00,,,,
2026-08-11 09:22:00,10.00,,,,
2026-08-11 09:23:00,10.00,,,,
2026-08-11 09:24:00,10.00,,,,
2026-08-11 09:25:00,10.00,,,,
