timestamp,DS18B20_C,mercury_C,diff_C,water_bath_status,note
2026-08-11 11:00:00,,,RT,,
2026-08-11 11:01:00,,,RT,,
2026-08-11 11:02:00,,,RT,,
2026-08-11 11:03:00,,,RT,,
2026-08-11 11:04:00,,,RT,,
2026-08-11 11:05:00,,,RT,,
2026-08-11 11:10:00,,,37C,,
2026-08-11 11:11:00,,,37C,,
2026-08-11 11:12:00,,,37C,,
2026-08-11 11:13:00,,,37C,,
2026-08-11 11:14:00,,,37C,,
2026-08-11 11:15:00,,,37C,,
2026-08-11 11:20:00,,,50C,,
2026-08-11 11:21:00,,,50C,,
2026-08-11 11:22:00,,,50C,,
2026-08-11 11:23:00,,,50C,,
2026-08-11 11:24:00,,,50C,,
2026-08-11 11:25:00,,,50C,,
