t_s,T_actual,T_target,pid_output,p_heater_w,p_peltier_w,peltier_on,peltier_auto
0.0,25.5,35.0,1.0,100.0,0.0,0,1
1.0,25.999,35.0,1.0,100.0,0.0,0,1
2.0,26.496,35.0,1.0,100.0,0.0,0,1
3.0,26.993,35.0,1.0,100.0,0.0,0,1
4.0,27.488,35.0,1.0,100.0,0.0,0,1
5.0,27.981,35.0,1.0,100.0,0.0,0,1
6.0,28.474,35.0,1.0,100.0,0.0,0,1
7.0,28.965,35.0,1.0,100.0,0.0,0,1
8.0,29.455,35.0,1.0,100.0,0.0,0,1
9.0,29.944,35.0,1.0,100.0,0.0,0,1
10.0,30.432,35.0,1.0,100.0,0.0,0,1
11.0,30.918,35.0,1.0,100.0,0.0,0,1
12.0,31.403,35.0,1.0,100.0,0.0,0,1
13.0,31.887,35.0,1.0,100.0,0.0,0,1
14.0,32.37,35.0,1.0,100.0,0.0,0,1
15.0,32.852,35.0,1.0,100.0,0.0,0,1
16.0,33.332,35.0,1.0,100.0,0.0,0,1
17.0,33.811,35.0,1.0,100.0,0.0,0,1
18.0,34.289,35.0,1.0,100.0,0.0,0,1
19.0,34.766,35.0,1.0,100.0,0.0,0,1
20.0,35.242,35.0,1.0,100.0,0.0,0,1
21.0,35.716,35.0,1.0,100.0,0.0,0,1
22.0,36.189,35.0,1.0,100.0,0.0,0,1
23.0,36.065,35.0,0.6071,60.71,80.0,1,1
24.0,36.137,35.0,1.0,100.0,80.0,1,1
25.0,36.142,35.0,0.8647,86.47,80.0,1,1
26.0,36.152,35.0,0.8766,87.66,80.0,1,1
27.0,36.154,35.0,0.8601,86.01,80.0,1,1
28.0,36.158,35.0,0.8636,86.36,80.0,1,1
29.0,36.157,35.0,0.8544,85.44,80.0,1,1
30.0,36.157,35.0,0.8544,85.44,80.0,1,1
31.0,36.153,35.0,0.8488,84.88,80.0,1,1
32.0,36.149,35.0,0.8476,84.76,80.0,1,1
33.0,36.143,35.0,0.844,84.4,80.0,1,1
34.0,36.137,35.0,0.8424,84.24,80.0,1,1
35.0,36.129,35.0,0.8399,83.99,80.0,1,1
36.0,36.12,35.0,0.8385,83.85,80.0,1,1
37.0,36.111,35.0,0.8366,83.66,80.0,1,1
38.0,36.101,35.0,0.8354,83.54,80.0,1,1
39.0,36.09,35.0,0.834,83.4,80.0,1,1
40.0,36.079,35.0,0.833,83.3,80.0,1,1
41.0,36.067,35.0,0.832,83.2,80.0,1,1
42.0,36.055,35.0,0.8312,83.12,80.0,1,1
43.0,36.043,35.0,0.8305,83.05,80.0,1,1
44.0,36.03,35.0,0.8299,82.99,80.0,1,1
45.0,36.017,35.0,0.8294,82.94,80.0,1,1
46.0,36.004,35.0,0.829,82.9,80.0,1,1
47.0,35.991,35.0,0.8286,82.86,80.0,1,1
48.0,35.977,35.0,0.8283,82.83,80.0,1,1
49.0,35.964,35.0,0.8281,82.81,80.0,1,1
